iter	Accuracy	Logloss
813	0.6755537216	0.5883021001
814	0.6755498068	0.5882737341
815	0.6755537216	0.5882516443
816	0.6755913046	0.5882139423
817	0.6755928705	0.5881779921
818	0.6755967854	0.5881518215
819	0.6756241896	0.5881313243
820	0.6756923087	0.588106882
821	0.6756977895	0.5880909069
822	0.675749466	0.5880534865
823	0.6757432022	0.5880331916
824	0.6757823511	0.5880135582
825	0.6757909638	0.5879574263
826	0.6758332446	0.5879427487
827	0.675854385	0.5879169347
828	0.6758661296	0.5879053475
829	0.6758700445	0.5878567707
830	0.675888836	0.5878392408
831	0.6760141124	0.5877701335
832	0.6760125464	0.5877362394
833	0.6760360358	0.5877158427
834	0.6760814484	0.5876619077
835	0.6760681378	0.5876338234
836	0.676062657	0.5876181763
837	0.6761112016	0.5875795126
838	0.6761503505	0.5875538541
839	0.6761620951	0.5875385099
840	0.6762035929	0.5875163436
841	0.6763202566	0.5874609584
842	0.6763484438	0.5874418943
843	0.6764361372	0.5873768786
844	0.6764666733	0.5873487544
845	0.6764964265	0.5873304774
846	0.6764956435	0.5873197215
847	0.6765089541	0.587303434
848	0.6765379243	0.5872875502
849	0.6765528009	0.5872772411
850	0.6765739413	0.5872330346
851	0.6766021284	0.5872114789
852	0.6766021284	0.5871946606
853	0.6766326646	0.5871664683
854	0.6766671156	0.5871493036
855	0.6766851241	0.5871301129
856	0.6767501112	0.5870952059
857	0.6768182302	0.5870529286
858	0.6768331068	0.5870373906
859	0.6768738216	0.5870238181
860	0.6768706897	0.5870109047
861	0.6769012258	0.5869869184
862	0.6769121875	0.5869659786
863	0.6769247152	0.586944719
864	0.6769411577	0.5869238148
865	0.6770037959	0.5869007363
866	0.6770210214	0.5868730886
867	0.6770531235	0.5868475692
868	0.6770570383	0.5868351384
869	0.677069566	0.5867933263
870	0.6770938383	0.5867617267
871	0.6771165446	0.5867443001
872	0.6771071489	0.5867259464
873	0.677138468	0.5867063192
874	0.6771408169	0.5866893254
875	0.6771204595	0.586677762
876	0.6771079319	0.5866245018
877	0.6771243744	0.5866088723
878	0.6772206806	0.586564113
879	0.6772707912	0.5865098698
